number,precinct,office,district,party,candidate,total,machine,hand
319,Mount Vernon 19,Governor,,D,Christine Gregoire,274,274,274
321,Mount Vernon 21,Governor,,D,Christine Gregoire,412,412,412
322,Mount Vernon 22,Governor,,D,Christine Gregoire,240,241,241
327,Mount Vernon 27,Governor,,D,Christine Gregoire,27,27,27
328,Mount Vernon 28,Governor,,D,Christine Gregoire,83,73,73
401,Sedro Woolley 1,Governor,,D,Christine Gregoire,223,223,224
402,Sedro Woolley 2,Governor,,D,Christine Gregoire,250,253,253
403,Sedro Woolley 3,Governor,,D,Christine Gregoire,229,229,231
404,Sedro Woolley 4,Governor,,D,Christine Gregoire,295,295,294
405,Sedro Woolley 5,Governor,,D,Christine Gregoire,298,300,300
406,Sedro Woolley 6,Governor,,D,Christine Gregoire,250,250,248
407,Sedro Woolley 7,Governor,,D,Christine Gregoire,0,0,0
501,Burlington 1,Governor,,D,Christine Gregoire,159,161,161
502,Burlington 2,Governor,,D,Christine Gregoire,170,171,171
503,Burlington 3,Governor,,D,Christine Gregoire,72,71,72
504,Burlington 4,Governor,,D,Christine Gregoire,148,148,148
505,Burlington 5,Governor,,D,Christine Gregoire,244,244,244
506,Burlington 6,Governor,,D,Christine Gregoire,155,156,156
507,Burlington 7,Governor,,D,Christine Gregoire,87,87,86
601,Concrete,Governor,,D,Christine Gregoire,132,132,132
701,Hamilton,Governor,,D,Christine Gregoire,66,66,66
801,La Conner,Governor,,D,Christine Gregoire,316,316,316
855,Lyman,Governor,,D,Christine Gregoire,66,66,66
SKAGIT WA,SKAGIT WA,Governor,,D,Christine Gregoire,23195,23266,23250
101,Alder,Governor,,R,Dino Rossi,194,195,195
102,Alger,Governor,,R,Dino Rossi,146,146,146
103,Allen,Governor,,R,Dino Rossi,183,183,183
104,Dunbar,Governor,,R,Dino Rossi,94,94,94
105,Avon,Governor,,R,Dino Rossi,299,297,297
107,Sauk,Governor,,R,Dino Rossi,250,250,250
108,Bay View,Governor,,R,Dino Rossi,221,223,223
109,Belfast,Governor,,R,Dino Rossi,195,196,196
110,Big Lake,Governor,,R,Dino Rossi,434,435,435
111,Birdsview,Governor,,R,Dino Rossi,275,275,275
113,Bow,Governor,,R,Dino Rossi,370,374,375
114,Cascade,Governor,,R,Dino Rossi,48,48,48
115,Cedardale,Governor,,R,Dino Rossi,206,206,206
116,Clear Lake,Governor,,R,Dino Rossi,314,314,315
117,Country Club,Governor,,R,Dino Rossi,170,170,170
118,Conway,Governor,,R,Dino Rossi,129,129,129
119,Dewey,Governor,,R,Dino Rossi,530,530,530
120,Digby,Governor,,R,Dino Rossi,39,39,39
121,Dodge Valley,Governor,,R,Dino Rossi,99,99,99
122,Edison,Governor,,R,Dino Rossi,212,212,212
124,Fir,Governor,,R,Dino Rossi,122,122,122
125,Fruitdale,Governor,,R,Dino Rossi,432,432,432
126,Gear,Governor,,R,Dino Rossi,431,431,431
127,Guemes,Governor,,R,Dino Rossi,172,172,172
128,Hamburg,Governor,,R,Dino Rossi,131,131,131
129,Harmony,Governor,,R,Dino Rossi,224,225,225
130,Lake Sixteen,Governor,,R,Dino Rossi,181,182,181
132,Lookout,Governor,,R,Dino Rossi,374,374,376
133,Mansford,Governor,,R,Dino Rossi,47,47,47
134,Mapes,Governor,,R,Dino Rossi,144,144,144
135,March Point,Governor,,R,Dino Rossi,20,20,20
136,MuMurray West,Governor,,R,Dino Rossi,158,159,159
137,McRae,Governor,,R,Dino Rossi,333,337,338
138,McMurray East,Governor,,R,Dino Rossi,65,65,65
139,Minkler,Governor,,R,Dino Rossi,168,168,168
140,Montborne,Governor,,R,Dino Rossi,304,304,303
141,Nookchamps,Governor,,R,Dino Rossi,175,175,175
144,Skyridge,Governor,,R,Dino Rossi,366,365,365
145,Prairie,Governor,,R,Dino Rossi,222,222,222
146,Point Williams,Governor,,R,Dino Rossi,230,231,231
147,Ridgeway,Governor,,R,Dino Rossi,244,245,246
148,Rockport,Governor,,R,Dino Rossi,232,233,234
149,Shelter Bay,Governor,,R,Dino Rossi,388,390,390
150,Sneeoosh,Governor,,R,Dino Rossi,229,229,229
151,Sterling,Governor,,R,Dino Rossi,190,191,191
153,Swinomish,Governor,,R,Dino Rossi,298,297,297
154,Tingley,Governor,,R,Dino Rossi,186,186,186
155,Van Fleet,Governor,,R,Dino Rossi,414,416,415
156,Vedere,Governor,,R,Dino Rossi,254,253,253
157,Whitney,Governor,,R,Dino Rossi,117,118,117
158,Rosario,Governor,,R,Dino Rossi,417,421,421
159,Terrace,Governor,,R,Dino Rossi,567,569,571
160,Starbird,Governor,,R,Dino Rossi,313,313,313
164,Fidalgo 01,Governor,,R,Dino Rossi,372,372,372
165,Gages,Governor,,R,Dino Rossi,90,92,92
166,Samish,Governor,,R,Dino Rossi,214,214,215
167,Collins,Governor,,R,Dino Rossi,42,42,42
168,Blanchard,Governor,,R,Dino Rossi,233,234,233
170,View Terrace,Governor,,R,Dino Rossi,2,2,2
171,Lake Cavanaugh,Governor,,R,Dino Rossi,88,88,88
172,Little Mountain,Governor,,R,Dino Rossi,149,150,150
173,Riverbend,Governor,,R,Dino Rossi,24,25,25
174,Padilla,Governor,,R,Dino Rossi,70,70,70
176,Fredonia,Governor,,R,Dino Rossi,62,62,62
201,Anacortes 1,Governor,,R,Dino Rossi,210,210,211
204,Anacortes 4,Governor,,R,Dino Rossi,192,193,192
205,Anacortes 5,Governor,,R,Dino Rossi,13,13,13
206,Anacortes 6,Governor,,R,Dino Rossi,305,305,305
207,Anacortes 7,Governor,,R,Dino Rossi,537,542,544
209,Anacortes 9,Governor,,R,Dino Rossi,329,329,329
211,Anacortes 11,Governor,,R,Dino Rossi,380,380,379
217,Anacortes 17,Governor,,R,Dino Rossi,423,424,424
220,Anacortes 20,Governor,,R,Dino Rossi,466,469,469
221,Anacortes 21,Governor,,R,Dino Rossi,589,592,592
222,Anacortes 22,Governor,,R,Dino Rossi,403,403,405
224,Anacortes 24,Governor,,R,Dino Rossi,613,614,616
301,Mount Vernon 1,Governor,,R,Dino Rossi,177,179,178
302,Mount Vernon 2,Governor,,R,Dino Rossi,131,131,131
303,Mount Vernon 3,Governor,,R,Dino Rossi,307,310,310
304,Mount Vernon 4,Governor,,R,Dino Rossi,451,452,452
305,Mount Vernon 5,Governor,,R,Dino Rossi,38,38,38
306,Mount Vernon 6,Governor,,R,Dino Rossi,182,183,183
307,Mount Vernon 7,Governor,,R,Dino Rossi,271,271,271
308,Mount Vernon 8,Governor,,R,Dino Rossi,425,423,425
309,Mount Vernon 9,Governor,,R,Dino Rossi,180,181,181
310,Mount Vernon 10,Governor,,R,Dino Rossi,224,227,227
311,Mount Vernon 11,Governor,,R,Dino Rossi,255,256,256
312,Mount Vernon 12,Governor,,R,Dino Rossi,179,179,179
314,Mount Vernon 14,Governor,,R,Dino Rossi,384,384,384
315,Mount Vernon 15,Governor,,R,Dino Rossi,225,248,227
316,Mount Vernon 16,Governor,,R,Dino Rossi,485,485,486
319,Mount Vernon 19,Governor,,R,Dino Rossi,381,382,382
321,Mount Vernon 21,Governor,,R,Dino Rossi,449,449,449
322,Mount Vernon 22,Governor,,R,Dino Rossi,346,347,347
327,Mount Vernon 27,Governor,,R,Dino Rossi,69,69,69
328,Mount Vernon 28,Governor,,R,Dino Rossi,64,60,60
401,Sedro Woolley 1,Governor,,R,Dino Rossi,274,273,274
402,Sedro Woolley 2,Governor,,R,Dino Rossi,378,384,384
403,Sedro Woolley 3,Governor,,R,Dino Rossi,236,236,236
404,Sedro Woolley 4,Governor,,R,Dino Rossi,350,351,352
405,Sedro Woolley 5,Governor,,R,Dino Rossi,286,289,289
406,Sedro Woolley 6,Governor,,R,Dino Rossi,299,299,299
407,Sedro Woolley 7,Governor,,R,Dino Rossi,0,0,0
501,Burlington 1,Governor,,R,Dino Rossi,171,173,173
502,Burlington 2,Governor,,R,Dino Rossi,187,187,188
503,Burlington 3,Governor,,R,Dino Rossi,93,93,93
504,Burlington 4,Governor,,R,Dino Rossi,186,186,186
505,Burlington 5,Governor,,R,Dino Rossi,285,286,286
506,Burlington 6,Governor,,R,Dino Rossi,174,175,175
507,Burlington 7,Governor,,R,Dino Rossi,126,126,127
601,Concrete,Governor,,R,Dino Rossi,147,147,147
701,Hamilton,Governor,,R,Dino Rossi,58,58,58
801,La Conner,Governor,,R,Dino Rossi,221,221,221
855,Lyman,Governor,,R,Dino Rossi,79,79,79
SKAGIT WA,SKAGIT WA,Governor,,R,Dino Rossi,27135,27224,27219
101,Alder,Governor,,L,Ruth Bennett,12,12,12
102,Alger,Governor,,L,Ruth Bennett,9,9,9
103,Allen,Governor,,L,Ruth Bennett,5,5,5
104,Dunbar,Governor,,L,Ruth Bennett,5,5,5
105,Avon,Governor,,L,Ruth Bennett,18,18,18
107,Sauk,Governor,,L,Ruth Bennett,17,17,17
108,Bay View,Governor,,L,Ruth Bennett,5,5,5
109,Belfast,Governor,,L,Ruth Bennett,3,3,3
110,Big Lake,Governor,,L,Ruth Bennett,17,17,17
111,Birdsview,Governor,,L,Ruth Bennett,21,21,21
113,Bow,Governor,,L,Ruth Bennett,20,20,20
114,Cascade,Governor,,L,Ruth Bennett,5,5,5
115,Cedardale,Governor,,L,Ruth Bennett,12,12,12
116,Clear Lake,Governor,,L,Ruth Bennett,16,16,16
117,Country Club,Governor,,L,Ruth Bennett,7,7,7
118,Conway,Governor,,L,Ruth Bennett,5,5,5
119,Dewey,Governor,,L,Ruth Bennett,15,15,15
120,Digby,Governor,,L,Ruth Bennett,0,0,0
121,Dodge Valley,Governor,,L,Ruth Bennett,5,6,6
122,Edison,Governor,,L,Ruth Bennett,8,8,8
124,Fir,Governor,,L,Ruth Bennett,7,7,7
125,Fruitdale,Governor,,L,Ruth Bennett,21,21,21
126,Gear,Governor,,L,Ruth Bennett,10,10,10
127,Guemes,Governor,,L,Ruth Bennett,30,30,30
128,Hamburg,Governor,,L,Ruth Bennett,2,2,2
129,Harmony,Governor,,L,Ruth Bennett,7,7,7
130,Lake Sixteen,Governor,,L,Ruth Bennett,7,7,7
132,Lookout,Governor,,L,Ruth Bennett,16,16,16
133,Mansford,Governor,,L,Ruth Bennett,4,4,4
134,Mapes,Governor,,L,Ruth Bennett,8,8,8
135,March Point,Governor,,L,Ruth Bennett,0,0,0
136,MuMurray West,Governor,,L,Ruth Bennett,5,5,5
137,McRae,Governor,,L,Ruth Bennett,12,12,12
138,McMurray East,Governor,,L,Ruth Bennett,2,2,2
139,Minkler,Governor,,L,Ruth Bennett,11,11,11
140,Montborne,Governor,,L,Ruth Bennett,16,16,16
141,Nookchamps,Governor,,L,Ruth Bennett,7,7,7
144,Skyridge,Governor,,L,Ruth Bennett,9,9,9
145,Prairie,Governor,,L,Ruth Bennett,13,13,13
146,Point Williams,Governor,,L,Ruth Bennett,6,6,6
147,Ridgeway,Governor,,L,Ruth Bennett,9,9,9
148,Rockport,Governor,,L,Ruth Bennett,22,22,22
149,Shelter Bay,Governor,,L,Ruth Bennett,5,5,5
150,Sneeoosh,Governor,,L,Ruth Bennett,7,7,7
151,Sterling,Governor,,L,Ruth Bennett,7,7,7
153,Swinomish,Governor,,L,Ruth Bennett,9,9,9
154,Tingley,Governor,,L,Ruth Bennett,9,9,9
155,Van Fleet,Governor,,L,Ruth Bennett,20,20,20
156,Vedere,Governor,,L,Ruth Bennett,10,10,10
157,Whitney,Governor,,L,Ruth Bennett,1,1,1
158,Rosario,Governor,,L,Ruth Bennett,7,7,7
159,Terrace,Governor,,L,Ruth Bennett,15,15,15
160,Starbird,Governor,,L,Ruth Bennett,13,13,13
164,Fidalgo 01,Governor,,L,Ruth Bennett,12,12,12
165,Gages,Governor,,L,Ruth Bennett,3,3,3
166,Samish,Governor,,L,Ruth Bennett,12,12,12
167,Collins,Governor,,L,Ruth Bennett,1,1,1
168,Blanchard,Governor,,L,Ruth Bennett,16,16,16
170,View Terrace,Governor,,L,Ruth Bennett,0,0,0
171,Lake Cavanaugh,Governor,,L,Ruth Bennett,4,4,4
172,Little Mountain,Governor,,L,Ruth Bennett,2,2,2
173,Riverbend,Governor,,L,Ruth Bennett,2,2,2
174,Padilla,Governor,,L,Ruth Bennett,1,1,1
176,Fredonia,Governor,,L,Ruth Bennett,7,7,7
201,Anacortes 1,Governor,,L,Ruth Bennett,17,17,17
204,Anacortes 4,Governor,,L,Ruth Bennett,28,28,28
205,Anacortes 5,Governor,,L,Ruth Bennett,0,0,0
206,Anacortes 6,Governor,,L,Ruth Bennett,10,10,10
207,Anacortes 7,Governor,,L,Ruth Bennett,25,25,25
209,Anacortes 9,Governor,,L,Ruth Bennett,15,15,15
211,Anacortes 11,Governor,,L,Ruth Bennett,12,12,12
217,Anacortes 17,Governor,,L,Ruth Bennett,31,31,31
220,Anacortes 20,Governor,,L,Ruth Bennett,18,18,18
221,Anacortes 21,Governor,,L,Ruth Bennett,15,15,15
222,Anacortes 22,Governor,,L,Ruth Bennett,18,18,18
224,Anacortes 24,Governor,,L,Ruth Bennett,16,16,16
301,Mount Vernon 1,Governor,,L,Ruth Bennett,17,18,18
302,Mount Vernon 2,Governor,,L,Ruth Bennett,15,15,15
303,Mount Vernon 3,Governor,,L,Ruth Bennett,30,30,30
304,Mount Vernon 4,Governor,,L,Ruth Bennett,25,25,25
305,Mount Vernon 5,Governor,,L,Ruth Bennett,1,1,1
306,Mount Vernon 6,Governor,,L,Ruth Bennett,22,22,22
307,Mount Vernon 7,Governor,,L,Ruth Bennett,14,14,14
308,Mount Vernon 8,Governor,,L,Ruth Bennett,11,11,11
309,Mount Vernon 9,Governor,,L,Ruth Bennett,10,10,10
310,Mount Vernon 10,Governor,,L,Ruth Bennett,13,13,13
311,Mount Vernon 11,Governor,,L,Ruth Bennett,7,7,7
312,Mount Vernon 12,Governor,,L,Ruth Bennett,12,12,12
314,Mount Vernon 14,Governor,,L,Ruth Bennett,21,21,21
315,Mount Vernon 15,Governor,,L,Ruth Bennett,16,18,16
316,Mount Vernon 16,Governor,,L,Ruth Bennett,8,8,8
319,Mount Vernon 19,Governor,,L,Ruth Bennett,12,12,12
321,Mount Vernon 21,Governor,,L,Ruth Bennett,20,20,20
322,Mount Vernon 22,Governor,,L,Ruth Bennett,10,11,11
327,Mount Vernon 27,Governor,,L,Ruth Bennett,1,1,1
328,Mount Vernon 28,Governor,,L,Ruth Bennett,5,5,5
401,Sedro Woolley 1,Governor,,L,Ruth Bennett,10,10,10
402,Sedro Woolley 2,Governor,,L,Ruth Bennett,8,8,8
403,Sedro Woolley 3,Governor,,L,Ruth Bennett,17,18,18
404,Sedro Woolley 4,Governor,,L,Ruth Bennett,22,22,22
405,Sedro Woolley 5,Governor,,L,Ruth Bennett,16,16,16
406,Sedro Woolley 6,Governor,,L,Ruth Bennett,16,16,16
407,Sedro Woolley 7,Governor,,L,Ruth Bennett,0,0,0
501,Burlington 1,Governor,,L,Ruth Bennett,11,11,11
502,Burlington 2,Governor,,L,Ruth Bennett,8,8,8
503,Burlington 3,Governor,,L,Ruth Bennett,9,10,9
504,Burlington 4,Governor,,L,Ruth Bennett,14,14,14
505,Burlington 5,Governor,,L,Ruth Bennett,10,10,10
506,Burlington 6,Governor,,L,Ruth Bennett,16,16,16
507,Burlington 7,Governor,,L,Ruth Bennett,6,6,6
601,Concrete,Governor,,L,Ruth Bennett,12,12,12
701,Hamilton,Governor,,L,Ruth Bennett,2,2,2
801,La Conner,Governor,,L,Ruth Bennett,13,13,13
855,Lyman,Governor,,L,Ruth Bennett,3,3,3
SKAGIT WA,SKAGIT WA,Governor,,L,Ruth Bennett,1260,1267,1264
